id_lote,PC1,PC2,PC3,PC4,PC5
A1,1.2782096,-11.557004,-5.145667,1.6563468,1.455004
A2,13.730268,-1.1592656,-6.6283717,0.033769708,0.9175185
A3,-12.257904,-0.3643051,-4.571077,0.3883761,0.0040901173
A4,9.653501,-7.408506,-6.788087,1.6672854,0.17461754
A5,-2.676143,-3.376221,-6.0775576,1.4877195,-0.44725725
A6,-19.428392,-3.1273363,-6.9798985,0.7036872,-0.8218631
A7,-17.556538,-2.345502,0.17203116,5.006969,-0.81536597
A8,4.99591,-9.066284,-1.3983624,-0.035487838,-0.07444248
A9,6.0690823,-13.13046,-1.8537569,1.4668416,-0.062921695
A10,-30.061617,8.119189,-5.6921244,-2.637185,0.5547896
A11,2.4885874,-8.5712,-3.788671,-0.5310441,0.60618794
A12,0.5013669,-6.0957894,-4.5514965,2.6779451,-0.5333634
A13,4.902275,-2.7480154,-0.30893484,1.3480382,0.40751
A14,-3.5014338,-6.0891604,-1.78735,-1.6210558,-0.45753455
A15,4.586276,-7.104752,1.1318489,0.85012037,-1.9213569
A16,6.8845353,0.038437996,6.7395763,0.18142071,-1.9608153
A17,-17.930433,1.2833235,3.7703617,0.31174943,-1.5148627
A18,-10.396841,11.528236,5.8408237,-0.55000436,-2.418196
A19,-12.421091,10.362451,2.7898326,-0.94531775,-2.033539
A20,-19.512842,3.9445376,-2.7753234,-0.2633879,0.048840515
A21,-21.699333,0.95089203,-2.233371,-1.599054,0.22595671
A22,-25.955715,6.106614,-2.7369757,-2.912637,-0.6201784
A23,-27.996359,-2.5321434,-5.107841,-0.7078151,0.78147465
A24,14.95761,-2.2075899,-6.881251,-1.6840948,0.37111926
A25,19.802483,-1.7678746,-8.509452,-1.9807906,1.1156933
A26,19.427488,-6.02522,-8.266306,-0.21103059,0.37313345
A27,22.716463,-0.8669644,-8.049522,-0.108064465,0.048435107
A28,10.480648,-12.639664,-7.349687,-0.16700824,0.54276377
A29,10.744125,-3.4455628,-5.8205514,-1.9295479,1.5398777
A30,9.168945,-6.8104258,-1.9395285,-0.9139468,1.0217472
A31,-21.807785,-1.5243356,1.3060892,1.8534889,-0.37247553
A32,-16.749918,3.586822,4.036155,1.4367044,0.040110637
A33,-11.205213,-2.5467865,0.24562158,0.30927658,0.31398094
A34,-15.172572,0.016589796,0.8973401,0.28280413,-0.11444885
A35,17.424847,-1.008183,-4.9465356,0.9244412,-3.2831361
A36,19.071009,1.674381,-4.4182034,0.64138216,-2.0382395
A37,5.3396497,-7.136689,-2.9439788,1.5620401,-0.45115668
A38,-10.806242,-6.9400826,-8.1251545,-0.77843106,-0.05286206
A39,22.636276,16.632088,1.3761234,-1.4235833,-1.3214135
A40,17.036066,-1.437805,-5.897681,0.7436036,-3.19812
A41,-18.454906,1.1606905,2.9402814,-0.037983976,-1.1426184
A42,18.848303,-1.4576024,8.325401,-0.019992562,-1.9315528
A43,0.42312136,-3.6545677,8.997773,-1.5431738,-0.22071183
A44,-3.0384157,-4.95062,9.677843,-1.819919,1.0941213
A45,-21.360474,0.50993615,8.08079,0.74209285,-0.5152441
A46,3.6880598,-11.843376,8.609383,0.98454577,-0.18793914
A47,15.286469,-4.380153,10.030622,-0.51559377,-0.82940656
A48,21.315918,5.3342996,6.2537265,-5.055384,-0.024712883
A49,21.053284,1.4283776,8.9389925,-2.2267475,-0.29105288
A50,12.578606,-5.159312,9.913233,-3.5227458,2.5198252
A51,10.713187,-9.714539,9.874215,-2.307621,2.529946
A52,-0.18787351,-0.102978416,11.154771,-1.6449894,1.0742599
A53,-20.306623,4.4155416,2.859537,-0.14859825,-1.0616664
A54,9.570962,-5.1690226,9.141313,2.0065103,0.24155842
A55,-16.308252,-4.875437,-2.8194687,2.6373897,1.6739781
A56,-15.963079,-6.592291,0.9620667,4.31671,2.106771
A57,-16.218557,-0.7433948,-0.9750334,-0.9302644,0.08361874
A58,-20.63885,4.163991,2.2631128,-0.6267814,-0.36634907
A59,21.327955,29.181864,-5.156737,-4.194996,-1.5372989
A60,19.725447,-2.9077945,-5.896927,-2.2748032,0.63561845
A61,16.078892,36.09836,2.1296527,10.141154,1.0974046
A62,12.139551,26.219774,-0.88588125,8.746605,3.0773656
A63,18.979418,1.3842057,0.19549842,1.5474523,0.9819735
A64,-16.622377,-2.4280431,2.7173,0.61967325,0.60032666
A65,-13.141202,30.622946,-5.7082367,-9.777129,2.712149
A66,13.752256,-1.7512804,11.643693,0.37006316,1.6503294
