id_lote,n_px,NDRE_cv,WBI_cv,REIP_cv,hetero_score
A1,2125,3.72,1.16,0.07,1.65
A2,1026,2.7,1.05,0.06,1.27
A3,3291,3.83,1.03,0.28,1.71
A4,1207,1.68,0.7,0.03,0.8
A5,2049,4.04,0.75,0.28,1.69
A6,3048,1.01,0.46,0.04,0.5
A7,3635,1.32,0.88,0.06,0.76
A8,987,1.73,0.64,0.03,0.8
A9,3296,1.18,0.5,0.02,0.57
A10,1680,3.96,1.24,0.21,1.8
A11,1252,2.8,1.44,0.07,1.44
A12,573,3.57,1.1,0.05,1.57
A13,1632,9.48,1.87,0.08,3.81
A14,672,3.68,0.74,0.05,1.49
A15,1418,2.23,0.56,0.03,0.94
A16,731,2.78,0.75,0.04,1.19
A17,782,2.06,1.12,0.08,1.08
A18,648,11.16,1.96,0.3,4.48
A19,503,4.57,1.26,0.11,1.98
A20,6919,9.53,3.86,0.32,4.57
A21,1030,2.0,0.55,0.09,0.88
A22,1326,10.61,3.69,0.38,4.89
A23,2178,1.14,0.41,0.03,0.53
A24,2339,2.66,0.7,0.03,1.13
A25,1118,2.66,0.76,0.04,1.15
A26,2745,1.55,0.42,0.03,0.67
A27,641,2.48,0.5,0.03,1.01
A28,2384,1.34,0.46,0.03,0.61
A29,2207,4.1,1.33,0.08,1.84
A30,3453,4.55,1.04,0.05,1.88
A31,4085,1.4,2.5,0.04,1.31
A32,3998,5.64,1.58,0.11,2.44
A33,4265,5.02,0.67,0.34,2.01
A34,9220,6.42,2.18,0.23,2.94
A35,1539,3.43,0.72,0.03,1.39
A36,1256,4.57,0.93,0.05,1.85
A37,1485,2.22,0.66,0.04,0.97
A38,1933,6.0,1.74,0.38,2.71
A39,2565,9.5,1.88,0.09,3.83
A40,1047,2.56,0.76,0.03,1.12
A41,6785,4.7,1.07,0.16,1.98
A42,2245,3.88,1.29,0.04,1.74
A43,2542,1.3,0.69,0.03,0.67
A44,3621,3.02,0.86,0.09,1.32
A45,3693,4.51,1.23,0.11,1.95
A46,1749,2.65,0.47,0.06,1.06
A47,1516,1.54,0.35,0.02,0.64
A48,1574,2.06,0.52,0.04,0.87
A49,1182,2.46,0.73,0.05,1.08
A50,2437,2.24,0.91,0.03,1.06
A51,1446,1.34,0.43,0.03,0.6
A52,2604,4.7,1.3,0.2,2.07
A53,3768,1.08,0.7,0.08,0.62
A54,922,1.28,0.33,0.02,0.54
A55,2922,2.26,0.69,0.05,1.0
A56,1621,2.1,1.15,0.06,1.1
A57,1208,3.4,1.11,0.12,1.54
A58,1800,3.5,1.32,0.1,1.64
A59,1199,6.95,1.6,0.09,2.88
A60,2306,2.18,0.59,0.03,0.93
A61,963,5.47,0.84,0.08,2.13
A62,837,6.32,1.03,0.09,2.48
A63,2366,2.4,0.59,0.02,1.01
A64,4228,4.28,2.46,0.14,2.3
A65,3244,6.31,1.11,0.05,2.49
A66,6017,5.19,1.15,0.08,2.14
