id_lote,REIP_mean,REIP_std,REIP_p10,REIP_p90,REIP_range,n_px_validos
A1,723.9,0.51,723.1,724.35,1.25,2125
A2,723.05,0.46,722.61,723.51,0.9,1026
A3,726.12,2.05,723.18,727.93,4.76,3291
A4,723.21,0.22,722.98,723.42,0.44,1207
A5,724.56,2.02,722.88,727.53,4.65,2049
A6,727.15,0.31,726.77,727.51,0.74,3048
A7,727.12,0.45,726.48,727.61,1.13,3635
A8,723.03,0.25,722.7,723.3,0.6,987
A9,723.52,0.18,723.29,723.72,0.43,3296
A10,727.5,1.53,726.1,729.27,3.17,1680
A11,722.76,0.53,722.08,723.47,1.38,1252
A12,722.62,0.39,722.01,723.0,0.99,573
A13,722.78,0.61,722.08,723.41,1.34,1632
A14,722.93,0.37,722.5,723.37,0.87,672
A15,722.53,0.19,722.31,722.72,0.41,1418
A16,722.46,0.27,722.08,722.77,0.69,731
A17,726.91,0.58,726.09,727.52,1.44,782
A18,725.02,2.2,721.11,726.99,5.88,648
A19,724.93,0.8,723.8,725.72,1.92,503
A20,725.75,2.33,721.41,727.71,6.3,6919
A21,727.59,0.65,726.9,728.12,1.22,1030
A22,725.46,2.75,721.17,727.64,6.47,1326
A23,729.04,0.23,728.74,729.3,0.56,2178
A24,723.02,0.21,722.74,723.28,0.54,2339
A25,723.14,0.25,722.79,723.44,0.65,1118
A26,722.8,0.19,722.54,723.03,0.49,2745
A27,722.55,0.24,722.26,722.82,0.57,641
A28,723.06,0.18,722.85,723.26,0.41,2384
A29,723.12,0.56,722.27,723.7,1.43,2207
A30,723.45,0.38,723.08,723.81,0.73,3453
A31,727.56,0.32,727.15,727.96,0.81,4085
A32,726.94,0.77,725.97,727.67,1.7,3998
A33,726.47,2.48,722.99,728.6,5.6,4265
A34,726.71,1.66,725.08,728.32,3.25,9220
A35,721.4,0.25,721.12,721.66,0.53,1539
A36,721.41,0.34,721.0,721.71,0.71,1256
A37,723.25,0.27,722.88,723.53,0.65,1485
A38,725.44,2.73,722.94,729.07,6.13,1933
A39,720.75,0.66,719.97,721.51,1.54,2565
A40,721.45,0.22,721.17,721.68,0.51,1047
A41,726.83,1.19,726.56,727.57,1.01,6785
A42,722.44,0.3,722.05,722.7,0.64,2245
A43,723.36,0.22,723.08,723.64,0.56,2542
A44,724.26,0.62,723.56,725.08,1.52,3621
A45,728.15,0.77,727.44,728.95,1.51,3693
A46,723.59,0.47,723.09,724.21,1.12,1749
A47,722.72,0.18,722.51,722.93,0.42,1516
A48,722.31,0.28,721.97,722.6,0.63,1574
A49,722.45,0.33,722.0,722.89,0.89,1182
A50,724.55,0.24,724.23,724.82,0.58,2437
A51,724.78,0.21,724.58,724.98,0.39,1446
A52,725.1,1.43,724.02,726.82,2.79,2604
A53,727.71,0.55,726.89,728.21,1.32,3768
A54,723.61,0.14,723.44,723.79,0.35,922
A55,728.34,0.35,728.04,728.63,0.59,2922
A56,728.84,0.46,728.51,729.19,0.68,1621
A57,726.13,0.88,725.48,726.64,1.15,1208
A58,727.47,0.76,726.39,728.39,2.0,1800
A59,722.7,0.64,721.94,723.53,1.59,1199
A60,722.32,0.2,722.07,722.54,0.48,2306
A61,720.0,0.59,719.2,720.75,1.55,963
A62,721.89,0.66,720.85,722.58,1.73,837
A63,722.93,0.18,722.71,723.14,0.43,2366
A64,727.37,1.04,725.86,728.66,2.8,4228
A65,720.41,0.33,719.99,720.81,0.82,3244
A66,722.87,0.58,722.29,723.47,1.18,6017
